Country,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Georgia,15.1298748,14.0445625,14.602685,9.259450889,2.31325,0.527112063,-2.375,0.328273321,12.70778511,42.55000019,6920,956.1367557,8.216265014,3.505726265,0,21.8651683,7394.993514,0.684375,8.728125,17.94375,86.84271183,1.543657003,68.6838125,0,0,0,26.3735,3.038087514,1.0524702,1.867623458,0.342642527,0,0.585089849,4658792,66.921,9.73125,36.4891875,4454.14425,210.1704086,1.114181875,4.074868957,15.48125,4278079538,44.44871771,-9.157383131,3.639949898,44.60585,0.925942304,2545.8125
Sao Tome and Principe,36.5234375,12.5577025,13.07361813,4.26717426,5.65125,0.433483464,0,0.047401721,3.39728379,30.35000038,67.5,135.9997598,9.199564488,0.00562246,0,0,1429.807404,0,0,50.93125,3.83862439,3.057585594,58.479625,8.692048136,10.02539497,0,17.3465,0.346557672,1.180147916,1.853430033,0.550461933,0,1.624734497,103733.5,106.8276875,0,67.9568125,15620.93119,0,0,0,18,0,23.58587309,0,5.756848811,35.2616875,3.663190925,53.39583333
Chile,17.16364841,14.5039475,14.69719562,16.14497004,3.2980625,2.661106644,3.9375,0.856032179,21.88000661,25.86875057,39585,3118.533995,71.9674056,1.514875532,0,22.27585811,14634.07382,0.419375,13.976875,50.08125,31.81479929,7.506120917,68.28025,35.9039102,37.0011892,1.237499997,20.706,0.617883429,4.1104455,7.457922188,0.931219444,0.459525695,1.409548908,11811263.75,15.558625,2.385625,68.5700625,54347.18375,221.8798028,9.3436225,4.569257669,74.375,42013140745,171.3286429,1.169504463,12.04757531,70.8156375,1.917467603,33954.70833
Angola,37.44284912,12.05046688,12.19310875,4.996889455,7.019875,0.613197088,-2.4375,0.406213459,31.25284065,44.21250009,149320,180.2455021,18.2496019,0,0,23.75970925,11187.91614,0.15,11.185,132.95625,384.678737,0.610664757,40.162625,0,0,0,14.9985,0.05871304,9.038660288,15.84377003,2.564437688,0,2.330116386,9730450,7.6985625,17.5525,43.1795625,12232.19875,56.74771193,0,0,45.625,5908765492,21.92220774,7.250374839,12.80299616,28.820025,5.208682882,7676.395833
Eritrea,23.21287129,11.52752688,11.23212188,0.303404446,6.3390625,0.038656951,-2.0625,0.077216816,4.401282367,33.56250024,3940,61.60955916,1.361081014,0,0,20.38526285,1073.277279,0,0,56.5875,5.688786446,0.588608601,46.6503125,0,0,0,15.0160625,0.013125,3.814905881,6.493662358,1.522705793,0,2.305307879,2785697.25,23.3513125,0,23.8468125,0,5.956180991,0,0,18.375,247584086.1,2.896767999,-15.98398049,4.059013367,13.3822375,3.721117146,159.7291667
Aruba,9.027777777,0,0,21.78460848,2.9123125,9.248352183,0,0,46.46841627,0,1,8405.188954,0,0,0,54.59337364,42789.31693,0,0,0,1.569678352,6.850700351,70.601375,24.32281303,24.75660326,0,22.3351875,0,0,0,0,0,1.276693019,69609.5625,385.657,0,24.4959375,0,0,0,0,16.275,697319219.6,0,-8.124957369,0,43.0818125,1.060544786,825.9166666
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560.75,130.0780625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,42.54534139,11.949915,12.30066563,4.484441611,6.110625,0.145027884,-0.9375,0.012026277,11.91787115,32.86250019,5300,115.9739271,1.338750241,0.737448273,0,31.00690734,1331.765533,0,0,70.4625,17.69805972,0.421751425,41.9294375,10.3394419,14.87321196,0,16.9014375,0.083276031,3.974932551,6.701077223,1.404009104,0,1.595695493,924109.0625,25.3630625,0,39.17425,26809.23438,0,0,0,29.75,123782985.1,7.433832548,-19.08903619,5.810528398,22.5165,3.568332529,150.7916667
San Marino,13.54166667,0,0,17.50813409,0,0,0,0,0,0,0,15512.40073,872.5850839,0,0,0,25330.77537,0,0,2.5625,5.045928933,13.1146196,0,0,0,0,0,1.374500036,0,0,0,0,1.247822779,22219.375,363.48675,0,0,0,0,0,4.07674522,0.975,408200008,1017.673504,0,1.858279646,69.6128625,2.100632624,0
Uruguay,69.41956634,14.2949275,14.09459938,15.16150738,2.578,1.797714084,5.25,0.63255685,17.20248884,38.23125029,3530,4925.067354,117.2109125,1.061797885,0,18.47256923,7571.960024,0.68125,12.455625,33.1625,35.90509623,6.781025515,71.261875,30.41703433,30.85481275,0,26.3426875,2.002586166,3.948215875,6.129843562,1.853355931,0,0.49032605,2942538.313,16.7968125,1.03375,71.84175,31954.82875,417.708301,11.51335488,6.476311494,63.46875,15151730628,191.0323204,-0.40230961,8.485663062,76.1393,0.732018464,5324.916667
